\multirow{16}{*}{2},\multirow{8}{*}{100},MFCS,2480,33192,10236,0:09.59
,,TGV,1,8245,8244,1:21.51
,,TGV2,0,17418,17418,1:14.60
,,TGV3,-,-,-,-
,,tree,0,25609,25609,0:17.84
,,tree_shrink,0,25609,25609,0:07.71
,,ldit,0,26148,26148,0:08.24
,,ldpow,0,31539,31539,0:24.16
,\multirow{8}{*}{20},MFCS,1078,10259,4956,0:01.68
,,TGV,3,4326,4326,0:30.33
,,TGV2,0,9774,9774,0:24.63
,,TGV3,-,-,-,-
,,tree,0,11705,11705,0:02.01
,,tree_shrink,0,11705,11705,0:01.31
,,ldit,0,12309,12309,0:01.25
,,ldpow,0,13021,13021,0:04.07
\multirow{16}{*}{3},\multirow{8}{*}{100},MFCS,14765,52995,4733,0:16.02
,,TGV,12,5521,5485,4:55.42
,,TGV2,31,10894,10544,4:05.80
,,TGV3,-,-,-,-
,,tree,0,15450,15450,0:17.80
,,tree_shrink,0,15450,15450,0:07.65
,,ldit,0,15677,15677,0:08.20
,,ldpow,0,18092,18092,2:41.27
,\multirow{8}{*}{20},MFCS,-,-,-,-
,,TGV,-,-,-,-
,,TGV2,-,-,-,-
,,TGV3,-,-,-,-
,,tree,-,-,-,-
,,tree_shrink,-,-,-,-
,,ldit,0,7748,7748,0:01.28
,,ldpow,-,-,-,-
\multirow{16}{*}{4},\multirow{8}{*}{100},MFCS,-,-,-,-
,,TGV,-,-,-,-
,,TGV2,-,-,-,-
,,TGV3,-,-,-,-
,,tree,-,-,-,-
,,tree_shrink,-,-,-,-
,,ldit,-,-,-,-
,,ldpow,-,-,-,-
,\multirow{8}{*}{20},MFCS,-,-,-,-
,,TGV,-,-,-,-
,,TGV2,-,-,-,-
,,TGV3,-,-,-,-
,,tree,-,-,-,-
,,tree_shrink,-,-,-,-
,,ldit,-,-,-,-
,,ldpow,35,6481,4663,1:28.78
\multirow{16}{*}{5},\multirow{8}{*}{100},MFCS,36843,85832,2079,0:37.13
,,TGV,-,-,-,-
,,TGV2,-,-,-,-
,,TGV3,-,-,-,-
,,tree,0,4988,4988,0:18.37
,,tree_shrink,0,4988,4988,0:07.89
,,ldit,0,5247,5247,0:08.51
,,ldpow,37,14869,7535,13:51.53
,\multirow{8}{*}{20},MFCS,18505,21738,607,0:04.20
,,TGV,-,-,-,-
,,TGV2,-,-,-,-
,,TGV3,-,-,-,-
,,tree,-,-,-,-
,,tree_shrink,-,-,-,-
,,ldit,-,-,-,-
,,ldpow,-,-,-,-
