\multirow{16}{*}{2},\multirow{8}{*}{100},MFCS,587,5189,4004,0:00.88
,,TGV,16,3892,3879,0:11.14
,,TGV2,17,5990,5951,0:09.72
,,TGV3,4,10013,9944,39:33.53
,,tree,7,8854,8424,0:02.75
,,tree_shrink,5,8394,8394,0:00.98
,,ldit,7,8985,8553,0:01.64
,,ldpow,5,10169,9952,0:03.06
,\multirow{8}{*}{20},MFCS,258,2426,1985,0:00.50
,,TGV,6,1920,1915,0:06.12
,,TGV2,22,3300,3284,0:04.64
,,TGV3,2,4160,4121,4:23.58
,,tree,4,3834,3761,0:00.49
,,tree_shrink,4,3770,3770,0:00.35
,,ldit,4,3971,3894,0:00.40
,,ldpow,3,4193,4117,0:00.89
\multirow{16}{*}{3},\multirow{8}{*}{100},MFCS,5076,11471,2153,0:01.25
,,TGV,78,2345,2211,0:37.53
,,TGV2,84,3820,3673,0:34.34
,,TGV3,-,-,-,-
,,tree,7,6072,5686,0:02.77
,,tree_shrink,5,5645,5645,0:01.00
,,ldit,7,6136,5748,0:01.71
,,ldpow,5,6471,6296,0:08.13
,\multirow{8}{*}{20},MFCS,1922,3459,1135,0:00.48
,,TGV,49,1192,1159,0:29.96
,,TGV2,49,2132,2096,0:23.36
,,TGV3,5,2926,2873,11:10.63
,,tree,4,2652,2598,0:00.48
,,tree_shrink,4,2603,2603,0:00.38
,,ldit,4,2741,2688,0:00.39
,,ldpow,6,2972,2871,0:02.01
\multirow{16}{*}{4},\multirow{8}{*}{100},MFCS,7269,14568,1365,0:01.73
,,TGV,106,1926,1772,2:03.13
,,TGV2,123,2643,2471,1:53.16
,,TGV3,-,-,-,-
,,tree,12,3744,3388,0:02.82
,,tree_shrink,6,3344,3344,0:01.04
,,ldit,14,3959,3598,0:01.77
,,ldpow,11,4442,4079,0:20.13
,\multirow{8}{*}{20},MFCS,3418,4234,718,0:00.57
,,TGV,97,886,846,1:32.35
,,TGV2,90,1361,1322,1:22.24
,,TGV3,-,-,-,-
,,tree,5,1726,1679,0:00.54
,,tree_shrink,5,1683,1683,0:00.39
,,ldit,5,1808,1761,0:00.56
,,ldpow,5,2004,1956,0:04.56
\multirow{16}{*}{5},\multirow{8}{*}{100},MFCS,7946,15773,1164,0:01.93
,,TGV,115,1623,1445,4:38.57
,,TGV2,122,2079,1888,4:19.50
,,TGV3,-,-,-,-
,,tree,11,2988,2643,0:02.85
,,tree_shrink,5,2603,2603,0:01.05
,,ldit,12,3102,2752,0:01.84
,,ldpow,7,3192,3043,0:29.32
,\multirow{8}{*}{20},MFCS,4057,4396,594,0:00.67
,,TGV,84,709,676,3:20.15
,,TGV2,103,1036,982,3:07.82
,,TGV3,-,-,-,-
,,tree,4,1325,1282,0:00.53
,,tree_shrink,4,1284,1284,0:00.45
,,ldit,5,1380,1336,0:00.64
,,ldpow,5,1517,1473,0:07.15
