avg_improvement,sortdeg1,td,fill-in,berlin.sna,WReachR,SReachR,felixR
all,16.2%,15.2%,7.0%,16.9%,6.7%,7.3%,16.7%
2,17.9%,23.1%,11.8%,19.0%,4.5%,10.7%,12.5%
3,16.8%,17.7%,7.5%,16.2%,6.2%,8.1%,18.5%
4,15.6%,10.8%,4.7%,16.7%,7.7%,5.4%,18.2%
5,14.6%,9.4%,3.8%,15.8%,8.4%,4.8%,17.5%

avg_logs,sortdeg1,td,fill-in,berlin.sna,WReachR,SReachR,felixR
all,2.857,3.005,2.904,2.884,2.872,2.836,3.035
2,2.465,2.564,2.496,2.471,2.478,2.473,2.552
3,2.822,2.975,2.868,2.850,2.809,2.800,2.971
4,3.010,3.186,3.073,3.043,3.037,2.979,3.223
5,3.131,3.295,3.180,3.171,3.163,3.091,3.396

progs_apx_ratio,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,WReachR_LS,SReachR_LS,felixR_LS
all,1.071,1.265,1.130,1.103,1.089,1.048,1.308
2,1.053,1.172,1.087,1.060,1.069,1.063,1.155
3,1.065,1.263,1.122,1.100,1.053,1.041,1.256
4,1.066,1.299,1.145,1.105,1.096,1.032,1.343
5,1.100,1.325,1.165,1.148,1.136,1.056,1.480

progs_win_score,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,WReachR_LS,SReachR_LS,felixR_LS
all,12.848,5.164,19.931,11.764,13.714,22.964,5.614
2,4.079,0.962,2.079,3.462,4.579,5.245,2.595
3,1.952,0.786,5.786,2.869,5.286,5.202,1.119
4,3.367,1.917,5.067,2.983,2.900,6.567,0.200
5,3.450,1.500,7.000,2.450,0.950,5.950,1.700
